General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[28].veinsmobility,16
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[8].veinsmobility,48
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[5].veinsmobility,52
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[13].veinsmobility,51
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[20].veinsmobility,47
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[22].veinsmobility,46
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[32].veinsmobility,49
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[30].veinsmobility,50
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[10].veinsmobility,70
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[6].veinsmobility,75
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[40].veinsmobility,50
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[39].veinsmobility,51
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[21].veinsmobility,69
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[91].veinsmobility,16
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[27].veinsmobility,68
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[1].veinsmobility,92
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[4].veinsmobility,89
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[15].veinsmobility,81
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[12].veinsmobility,85
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[53].veinsmobility,51
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[17].veinsmobility,82
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[56].veinsmobility,51
General-0-20210729-01:36:26-17800,0,Sim2Scenario.uninfected[33].veinsmobility,70
